YearStart,YearEnd,LocationDesc,DataSource,Topic,Question,DataValueUnit_x,DataValueType,DataValue,DataValueAlt,LowConfidenceLimit,HighConfidenceLimit,QuestionID,DataValueTypeID,RaceEthnicity
2013,2013,Michigan,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.2,2.2,1.4,2.9,MTH1_0,AGEADJMEAN,"Other, non-Hispanic"
2016,2016,Florida,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.3,2.3,1.7,2.9,MTH1_0,AGEADJMEAN,"Other, non-Hispanic"
2011,2011,South Dakota,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.4,2.4,2.0,2.8,MTH1_0,AGEADJMEAN,"White, non-Hispanic"
2011,2011,Michigan,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,2.5,2.5,1.5,3.4,MTH1_0,MEAN,"Other, non-Hispanic"
2011,2011,Minnesota,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,2.6,2.6,2.4,2.8,MTH1_0,MEAN,"White, non-Hispanic"
2016,2016,Hawaii,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,2.7,2.7,2.3,3.1,MTH1_0,MEAN,"White, non-Hispanic"
2016,2016,Ohio,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,2.8,2.8,1.6,4.0,MTH1_0,MEAN,"Other, non-Hispanic"
2011,2011,Pennsylvania,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.9,2.9,1.5,4.3,MTH1_0,AGEADJMEAN,"Other, non-Hispanic"
2015,2015,Pennsylvania,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.0,3.0,1.7,4.2,MTH1_0,MEAN,"Other, non-Hispanic"
2011,2011,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.1,3.1,2.5,3.6,MTH1_0,AGEADJMEAN,"White, non-Hispanic"
2016,2016,Minnesota,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.2,3.2,3.0,3.4,MTH1_0,AGEADJMEAN,"White, non-Hispanic"
2012,2012,Connecticut,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.3,3.3,2.9,3.6,MTH1_0,AGEADJMEAN,"White, non-Hispanic"
2020,2020,Minnesota,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.4,3.4,2.8,4.1,MTH1_0,MEAN,"Other, non-Hispanic"
2016,2016,Guam,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.5,3.5,2.7,4.4,MTH1_0,AGEADJMEAN,"White, non-Hispanic"
2017,2017,Colorado,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.6,3.6,3.2,4.1,MTH1_0,AGEADJMEAN,Hispanic
2018,2018,New York,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.7,3.7,3.6,3.9,MTH1_0,AGEADJMEAN,"White, non-Hispanic"
2016,2016,New Mexico,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.8,3.8,1.7,5.9,MTH1_0,MEAN,"Multiracial, non-Hispanic"
2013,2013,Colorado,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.9,3.9,2.8,5.0,MTH1_0,MEAN,"Black, non-Hispanic"
2017,2017,Missouri,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.0,4.0,2.7,5.2,MTH1_0,AGEADJMEAN,"Other, non-Hispanic"
2017,2017,California,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.1,4.1,3.2,5.0,MTH1_0,AGEADJMEAN,"Black, non-Hispanic"
2017,2017,Missouri,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.2,4.2,3.9,4.5,MTH1_0,MEAN,"White, non-Hispanic"
2018,2018,Alabama,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.3,4.3,2.0,6.6,MTH1_0,AGEADJMEAN,Hispanic
2011,2011,Washington,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.4,4.4,4.1,4.8,MTH1_0,AGEADJMEAN,"White, non-Hispanic"
2018,2018,New Mexico,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.5,4.5,1.9,7.2,MTH1_0,MEAN,"Black, non-Hispanic"
2012,2012,Kansas,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.6,4.6,3.4,5.8,MTH1_0,AGEADJMEAN,"Black, non-Hispanic"
2018,2018,Ohio,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.7,4.7,3.8,5.6,MTH1_0,MEAN,"Black, non-Hispanic"
2021,2021,Kansas,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.8,4.8,4.6,5.0,MTH1_0,AGEADJMEAN,"White, non-Hispanic"
2019,2019,Rhode Island,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.9,4.9,4.4,5.4,MTH1_0,MEAN,"White, non-Hispanic"
2011,2011,Alabama,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,5.0,5.0,4.4,5.7,MTH1_0,MEAN,"Black, non-Hispanic"
2020,2020,Hawaii,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,5.1,5.1,4.1,6.1,MTH1_0,AGEADJMEAN,Hispanic
2013,2013,Kentucky,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,5.2,5.2,4.8,5.6,MTH1_0,MEAN,"White, non-Hispanic"
2020,2020,Arizona,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,5.3,5.3,3.9,6.8,MTH1_0,AGEADJMEAN,"Black, non-Hispanic"
2012,2012,Kansas,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,5.4,5.4,3.5,7.4,MTH1_0,AGEADJMEAN,"Multiracial, non-Hispanic"
2021,2021,Alabama,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,5.5,5.5,5.2,5.9,MTH1_0,MEAN,"White, non-Hispanic"
2021,2021,Nevada,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,5.6,5.6,3.8,7.4,MTH1_0,MEAN,"Black, non-Hispanic"
2016,2016,Maine,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,5.7,5.7,3.5,7.8,MTH1_0,MEAN,"Other, non-Hispanic"
2018,2018,Maine,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,5.8,5.8,5.3,6.4,MTH1_0,AGEADJMEAN,"White, non-Hispanic"
2018,2018,Michigan,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,5.9,5.9,4.5,7.4,MTH1_0,MEAN,Hispanic
2019,2019,Utah,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,6.0,6.0,4.2,7.8,MTH1_0,MEAN,"Multiracial, non-Hispanic"
2014,2014,Maine,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,6.1,6.1,4.4,7.9,MTH1_0,AGEADJMEAN,"Other, non-Hispanic"
2017,2017,Kansas,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,6.2,6.2,4.7,7.7,MTH1_0,AGEADJMEAN,"Multiracial, non-Hispanic"
2015,2015,Florida,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,6.3,6.3,3.8,8.9,MTH1_0,MEAN,"Multiracial, non-Hispanic"
2019,2019,Alabama,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,6.4,6.4,5.9,6.8,MTH1_0,AGEADJMEAN,"White, non-Hispanic"
2016,2016,West Virginia,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,6.5,6.5,4.4,8.6,MTH1_0,AGEADJMEAN,"Multiracial, non-Hispanic"
2011,2011,Arkansas,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,6.6,6.6,4.9,8.4,MTH1_0,MEAN,"Black, non-Hispanic"
2015,2015,Arizona,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,6.7,6.7,4.4,9.0,MTH1_0,AGEADJMEAN,"Multiracial, non-Hispanic"
2021,2021,Kentucky,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,6.8,6.8,6.2,7.4,MTH1_0,AGEADJMEAN,"White, non-Hispanic"
2012,2012,New Mexico,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,6.9,6.9,4.4,9.4,MTH1_0,AGEADJMEAN,"Multiracial, non-Hispanic"
2017,2017,Louisiana,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,7.0,7.0,4.2,9.8,MTH1_0,AGEADJMEAN,"Other, non-Hispanic"
2018,2018,Vermont,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,7.1,7.1,4.3,9.8,MTH1_0,MEAN,"Multiracial, non-Hispanic"
2021,2021,Alabama,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,7.2,7.2,3.9,10.5,MTH1_0,MEAN,"Other, non-Hispanic"
2015,2015,Michigan,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,7.3,7.3,5.2,9.3,MTH1_0,AGEADJMEAN,"Multiracial, non-Hispanic"
2018,2018,Georgia,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,7.4,7.4,4.1,13.1,MTH2_0,CRDPREV,"Other, non-Hispanic"
2017,2017,Mississippi,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,7.5,7.5,3.9,11.1,MTH1_0,MEAN,"Other, non-Hispanic"
2016,2016,Texas,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,7.6,7.6,3.9,11.3,MTH1_0,AGEADJMEAN,"Multiracial, non-Hispanic"
2014,2014,Rhode Island,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,7.7,7.7,4.6,10.8,MTH1_0,AGEADJMEAN,"Multiracial, non-Hispanic"
2018,2018,Ohio,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,7.8,7.8,5.4,10.3,MTH1_0,MEAN,Hispanic
2011,2011,Michigan,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,7.9,7.9,5.5,10.3,MTH1_0,MEAN,"Multiracial, non-Hispanic"
2013,2013,Kentucky,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,8.0,8.0,4.5,11.6,MTH1_0,MEAN,"Other, non-Hispanic"
2015,2015,Vermont,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,8.1,8.1,5.2,10.9,MTH1_0,AGEADJMEAN,"Multiracial, non-Hispanic"
2019,2019,Indiana,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,8.2,8.2,5.1,13.0,MTH2_0,CRDPREV,Hispanic
2017,2017,Delaware,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,8.3,8.3,5.3,13.0,MTH2_0,CRDPREV,Hispanic
2009,2011,Minnesota,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,8.4,8.4,6.8,10.2,MTH3_0,CRDPREV,"White, non-Hispanic"
2013,2013,Massachusetts,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,8.5,8.5,5.5,11.4,MTH1_0,AGEADJMEAN,"Multiracial, non-Hispanic"
2015,2015,Ohio,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,8.6,8.6,5.1,12.1,MTH1_0,MEAN,"Multiracial, non-Hispanic"
2021,2021,West Virginia,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,8.7,8.7,5.8,11.5,MTH1_0,MEAN,Hispanic
2019,2019,Connecticut,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,8.8,8.8,6.2,12.3,MTH2_0,CRDPREV,Hispanic
2016,2016,Maryland,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,8.9,8.9,5.4,14.2,MTH2_0,CRDPREV,"Other, non-Hispanic"
2015,2015,South Carolina,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,9.0,9.0,5.4,12.6,MTH1_0,MEAN,"Multiracial, non-Hispanic"
2015,2015,Minnesota,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,9.1,9.1,5.0,15.8,MTH2_0,CRDPREV,"Other, non-Hispanic"
2013,2013,Virginia,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,9.2,9.2,5.9,14.2,MTH2_0,CRDPREV,"Black, non-Hispanic"
2017,2017,Pennsylvania,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,9.3,9.3,5.3,15.8,MTH2_0,CRDPREV,"Other, non-Hispanic"
2020,2020,Kentucky,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,9.4,9.4,6.4,12.4,MTH1_0,AGEADJMEAN,"Multiracial, non-Hispanic"
2015,2015,South Carolina,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,9.5,9.5,6.6,12.3,MTH1_0,AGEADJMEAN,"Multiracial, non-Hispanic"
2015,2015,Hawaii,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,9.6,9.6,5.4,16.4,MTH2_0,CRDPREV,"White, non-Hispanic"
2017,2017,Arkansas,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,9.7,9.7,5.1,14.3,MTH1_0,MEAN,"Multiracial, non-Hispanic"
2021,2021,Nevada,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,9.8,9.8,5.3,14.4,MTH1_0,MEAN,"Multiracial, non-Hispanic"
2019,2019,Illinois,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,9.9,9.9,5.5,17.2,MTH2_0,CRDPREV,"Other, non-Hispanic"
2016,2016,Oklahoma,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,10.0,10.0,6.2,15.7,MTH2_0,CRDPREV,Hispanic
2014,2014,District of Columbia,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,10.1,10.1,7.0,14.2,MTH2_0,CRDPREV,"White, non-Hispanic"
2017,2017,Florida,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,10.2,10.2,6.9,14.8,MTH2_0,CRDPREV,"Black, non-Hispanic"
2021,2021,Arkansas,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,10.3,10.3,6.7,13.8,MTH1_0,MEAN,"Multiracial, non-Hispanic"
2017,2017,North Carolina,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,10.4,10.4,6.1,17.1,MTH2_0,CRDPREV,Hispanic
2011,2011,Guam,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,10.5,10.5,7.6,14.2,MTH2_0,CRDPREV,"White, non-Hispanic"
2017,2017,Maine,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,10.6,10.6,7.3,13.9,MTH1_0,MEAN,"Multiracial, non-Hispanic"
2013,2013,Minnesota,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,10.7,10.7,9.0,12.7,MTH2_0,CRDPREV,"White, non-Hispanic"
2012,2012,Illinois,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,10.8,10.8,8.2,14.2,MTH2_0,CRDPREV,"White, non-Hispanic"
2018,2018,Nebraska,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,10.9,10.9,8.1,14.5,MTH2_0,CRDPREV,Hispanic
2013,2013,South Dakota,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,11.0,11.0,8.4,14.3,MTH2_0,CRDPREV,"White, non-Hispanic"
2013,2013,Montana,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,11.1,11.1,9.0,13.5,MTH2_0,CRDPREV,"White, non-Hispanic"
2013,2013,Guam,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,11.2,11.2,8.3,14.9,MTH2_0,CRDPREV,"White, non-Hispanic"
2015,2015,Missouri,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,11.3,11.3,6.4,19.1,MTH2_0,CRDPREV,"Black, non-Hispanic"
2014,2014,New Jersey,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,11.4,11.4,7.7,16.7,MTH2_0,CRDPREV,"Black, non-Hispanic"
2011,2011,New Jersey,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,11.5,11.5,9.3,14.1,MTH2_0,CRDPREV,"White, non-Hispanic"
2019,2019,Oregon,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,11.6,11.6,6.6,19.7,MTH2_0,CRDPREV,"Other, non-Hispanic"
2017,2017,South Dakota,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,11.7,11.7,9.1,14.9,MTH2_0,CRDPREV,"White, non-Hispanic"
2018,2018,Oklahoma,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,11.8,11.8,7.7,17.5,MTH2_0,CRDPREV,Hispanic
2019,2019,Massachusetts,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,11.9,11.9,7.5,18.4,MTH2_0,CRDPREV,"Other, non-Hispanic"
2011,2011,Nebraska,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,12.0,12.0,10.5,13.6,MTH2_0,CRDPREV,"White, non-Hispanic"
2017,2017,Kansas,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,12.1,12.1,9.6,15.1,MTH2_0,CRDPREV,Hispanic
2016,2016,Guam,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,12.2,12.2,7.8,18.7,MTH2_0,CRDPREV,"White, non-Hispanic"
2014,2014,Utah,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,12.3,12.3,9.0,16.7,MTH2_0,CRDPREV,Hispanic
2017,2017,Nebraska,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,12.4,12.4,10.9,14.1,MTH2_0,CRDPREV,"White, non-Hispanic"
2011,2011,Oklahoma,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,12.5,12.5,7.2,20.7,MTH2_0,CRDPREV,Hispanic
2021,2021,Massachusetts,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,12.6,12.6,9.5,16.6,MTH2_0,CRDPREV,Hispanic
2011,2011,Virginia,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,12.7,12.7,8.0,19.6,MTH2_0,CRDPREV,"Black, non-Hispanic"
2020,2020,New York,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,12.8,12.8,10.3,15.7,MTH2_0,CRDPREV,Hispanic
2011,2011,Florida,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,12.9,12.9,8.4,19.3,MTH2_0,CRDPREV,"Black, non-Hispanic"
2016,2016,New Jersey,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,13.0,13.0,10.3,16.3,MTH2_0,CRDPREV,"White, non-Hispanic"
2016,2016,New York,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,13.1,13.1,8.6,19.4,MTH2_0,CRDPREV,"Multiracial, non-Hispanic"
2021,2021,New York,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,13.2,13.2,10.9,16.0,MTH2_0,CRDPREV,"Black, non-Hispanic"
2015,2015,New Jersey,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,13.3,13.3,8.4,20.4,MTH2_0,CRDPREV,"Black, non-Hispanic"
2012,2012,North Carolina,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,13.4,13.4,8.9,19.9,MTH2_0,CRDPREV,Hispanic
2012,2012,Iowa,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,13.5,13.5,11.1,16.4,MTH2_0,CRDPREV,"White, non-Hispanic"
2013,2013,Utah,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,13.6,13.6,12.1,15.3,MTH2_0,CRDPREV,"White, non-Hispanic"
2014,2014,Guam,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,13.7,13.7,7.7,23.2,MTH2_0,CRDPREV,"Multiracial, non-Hispanic"
2013,2013,Florida,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,13.8,13.8,9.3,20.1,MTH2_0,CRDPREV,"Black, non-Hispanic"
2016,2016,Maryland,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,13.9,13.9,11.9,16.2,MTH2_0,CRDPREV,"White, non-Hispanic"
2016,2016,Washington,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,14.0,14.0,10.7,18.1,MTH2_0,CRDPREV,Hispanic
2011,2011,New York,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,14.1,14.1,11.9,16.7,MTH2_0,CRDPREV,"White, non-Hispanic"
2021,2021,Hawaii,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,14.2,14.2,11.0,18.1,MTH2_0,CRDPREV,"Multiracial, non-Hispanic"
2016,2016,Alabama,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,14.3,14.3,11.2,18.0,MTH2_0,CRDPREV,"Black, non-Hispanic"
2017,2017,Maryland,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,14.4,14.4,11.1,18.5,MTH2_0,CRDPREV,"Black, non-Hispanic"
2012,2012,Tennessee,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,14.5,14.5,12.1,17.3,MTH2_0,CRDPREV,"White, non-Hispanic"
2018,2018,Minnesota,PRAMS,Reproductive Health,Folic acid supplementation,,Crude Prevalence,14.6,14.6,9.1,22.5,RPH3_0,CRDPREV,American Indian or Alaska Native
